id;id_belanja;detail;harga;satuan
141;9;Uang Harian Fullboard di Luar Kota: Kalimantan Tengah - Pegawai UNS;120000;Orang/Hari
142;9;Uang Harian Fullboard di Luar Kota: Kalimantan Selatan - Pegawai UNS;130000;Orang/Hari
143;9;Uang Harian Fullboard di Luar Kota: Kalimantan Timur - Pegawai UNS;150000;Orang/Hari
144;9;Uang Harian Fullboard di Luar Kota: Kalimantan Utara - Pegawai UNS;150000;Orang/Hari
145;9;Uang Harian Fullboard di Luar Kota: Sulawesi Utara - Pegawai UNS;130000;Orang/Hari
146;9;Uang Harian Fullboard di Luar Kota: Gorontalo - Pegawai UNS;130000;Orang/Hari
147;9;Uang Harian Fullboard di Luar Kota: Sulawesi Barat - Pegawai UNS;120000;Orang/Hari
148;9;Uang Harian Fullboard di Luar Kota: Sulawesi Selatan - Pegawai UNS;150000;Orang/Hari
149;9;Uang Harian Fullboard di Luar Kota: Sulawesi Tengah - Pegawai UNS;130000;Orang/Hari
150;9;Uang Harian Fullboard di Luar Kota: Sulawesi Tenggara - Pegawai UNS;130000;Orang/Hari
151;9;Uang Harian Fullboard di Luar Kota: Maluku - Pegawai UNS;120000;Orang/Hari
152;9;Uang Harian Fullboard di Luar Kota: Maluku Utara - Pegawai UNS;130000;Orang/Hari
153;9;Uang Harian Fullboard di Luar Kota: Papua - Pegawai UNS;200000;Orang/Hari
154;9;Uang Harian Fullboard di Luar Kota: Papua Barat - Pegawai UNS;160000;Orang/Hari
155;10;Uang Harian Fullboard di Dalam Kota: Aceh - Pegawai UNS;120000;Orang/Hari
156;10;Uang Harian Fullboard di Dalam Kota: Sumatera Utara - Pegawai UNS;130000;Orang/Hari
157;10;Uang Harian Fullboard di Dalam Kota: Riau - Pegawai UNS;130000;Orang/Hari
158;10;Uang Harian Fullboard di Dalam Kota: Kepulauan Riau - Pegawai UNS;130000;Orang/Hari
159;10;Uang Harian Fullboard di Dalam Kota: Jambi - Pegawai UNS;130000;Orang/Hari
160;10;Uang Harian Fullboard di Dalam Kota: Sumatera Barat - Pegawai UNS;120000;Orang/Hari
161;10;Uang Harian Fullboard di Dalam Kota: Sumatera Selatan - Pegawai UNS;120000;Orang/Hari
162;10;Uang Harian Fullboard di Dalam Kota: Lampung - Pegawai UNS;130000;Orang/Hari
